rundate,reporting_period,airport_cluster,rpt_apt_grp_cd,reporting_airport_group_name,reporting_airport_name,total_atms,atms_scheduled_UK_operator,atms_scheduled_foreign_EU_operator,atms_scheduled_foreign_non_EU_operator,atms_charter_UK_operator,atms_charter_foreign_EU_operator,atms_charter_foreign_non_EU_operator
12/04/2019 14:25,201902,1,3,Other UK Airports,ABERDEEN,5626,2048,620,184,2474,300,0
12/04/2019 14:25,201902,2,4,Non UK Reporting Airports,ALDERNEY,309,309,0,0,0,0,0
12/04/2019 14:25,201902,1,3,Other UK Airports,BARRA,100,100,0,0,0,0,0
12/04/2019 14:25,201902,1,3,Other UK Airports,BELFAST CITY (GEORGE BEST),2528,2309,210,0,8,1,0
12/04/2019 14:25,201902,1,3,Other UK Airports,BELFAST INTERNATIONAL,3381,2526,503,0,203,142,7
12/04/2019 14:25,201902,1,3,Other UK Airports,BENBECULA,136,136,0,0,0,0,0
12/04/2019 14:25,201902,1,3,Other UK Airports,BIGGIN HILL,18,0,0,0,0,18,0
12/04/2019 14:25,201902,1,3,Other UK Airports,BIRMINGHAM,7027,3303,2779,656,274,10,5
12/04/2019 14:25,201902,1,3,Other UK Airports,BLACKPOOL,338,0,0,0,338,0,0
12/04/2019 14:25,201902,1,3,Other UK Airports,BOURNEMOUTH,238,41,112,24,57,4,0
12/04/2019 14:25,201902,1,3,Other UK Airports,BRISTOL,3994,2622,1137,2,196,35,2
12/04/2019 14:25,201902,1,3,Other UK Airports,CAMPBELTOWN,79,79,0,0,0,0,0
12/04/2019 14:25,201902,1,3,Other UK Airports,CARDIFF WALES,1004,641,221,40,95,7,0
12/04/2019 14:25,201902,1,3,Other UK Airports,CITY OF DERRY (EGLINTON),178,106,72,0,0,0,0
12/04/2019 14:25,201902,1,3,Other UK Airports,DONCASTER SHEFFIELD,486,160,224,17,77,5,3
12/04/2019 14:25,201902,1,3,Other UK Airports,DUNDEE,95,92,0,0,0,3,0
12/04/2019 14:25,201902,1,3,Other UK Airports,DURHAM TEES VALLEY,301,153,145,0,3,0,0
12/04/2019 14:25,201902,1,3,Other UK Airports,EAST MIDLANDS INTERNATIONAL,3439,1267,1112,208,130,720,2
12/04/2019 14:25,201902,1,3,Other UK Airports,EDINBURGH,8514,5519,2565,258,109,63,0
12/04/2019 14:25,201902,1,3,Other UK Airports,EXETER,922,821,1,0,99,1,0
12/04/2019 14:25,201902,1,1,London Area Airports,GATWICK,19659,13477,3851,1447,797,77,10
12/04/2019 14:25,201902,1,3,Other UK Airports,GLASGOW,5246,4148,819,214,58,7,0
12/04/2019 14:25,201902,2,4,Non UK Reporting Airports,GUERNSEY,1486,1343,0,0,73,70,0
12/04/2019 14:25,201902,1,1,London Area Airports,HEATHROW,35488,19305,7362,8804,9,8,0
12/04/2019 14:25,201902,1,3,Other UK Airports,HUMBERSIDE,558,133,159,0,266,0,0
12/04/2019 14:25,201902,1,3,Other UK Airports,INVERNESS,754,702,48,0,0,4,0
12/04/2019 14:25,201902,1,3,Other UK Airports,ISLAY,125,125,0,0,0,0,0
12/04/2019 14:25,201902,2,4,Non UK Reporting Airports,ISLE OF MAN,1024,896,86,0,2,40,0
12/04/2019 14:25,201902,1,3,Other UK Airports,ISLES OF SCILLY (ST.MARYS),433,433,0,0,0,0,0
12/04/2019 14:25,201902,2,4,Non UK Reporting Airports,JERSEY,1585,1512,38,0,9,26,0
12/04/2019 14:25,201902,1,3,Other UK Airports,KIRKWALL,789,787,0,0,2,0,0
12/04/2019 14:25,201902,1,3,Other UK Airports,LANDS END (ST JUST),393,393,0,0,0,0,0
12/04/2019 14:25,201902,1,3,Other UK Airports,LEEDS BRADFORD,1624,922,700,0,2,0,0
12/04/2019 14:25,201902,1,3,Other UK Airports,LERWICK (TINGWALL),62,62,0,0,0,0,0
12/04/2019 14:25,201902,1,3,Other UK Airports,LIVERPOOL (JOHN LENNON),2506,1474,959,16,11,41,5
12/04/2019 14:25,201902,1,1,London Area Airports,LONDON CITY,6411,4254,1724,433,0,0,0
12/04/2019 14:25,201902,1,1,London Area Airports,LUTON,7557,4289,3149,58,55,6,0
12/04/2019 14:25,201902,1,3,Other UK Airports,MANCHESTER,12693,6562,4171,1388,539,27,6
12/04/2019 14:25,201902,1,3,Other UK Airports,NEWCASTLE,2443,1641,704,57,6,2,33
12/04/2019 14:25,201902,1,3,Other UK Airports,NEWQUAY,339,287,52,0,0,0,0
12/04/2019 14:25,201902,1,3,Other UK Airports,NORWICH,1470,346,169,0,860,95,0
12/04/2019 14:25,201902,1,3,Other UK Airports,PRESTWICK,188,0,178,0,1,0,9
12/04/2019 14:25,201902,1,3,Other UK Airports,SCATSTA,393,0,0,0,393,0,0
12/04/2019 14:25,201902,1,3,Other UK Airports,SHOREHAM,0,0,0,0,0,0,0
12/04/2019 14:25,201902,1,3,Other UK Airports,SOUTHAMPTON,2400,2275,90,23,12,0,0
12/04/2019 14:25,201902,1,1,London Area Airports,SOUTHEND,900,472,428,0,0,0,0
12/04/2019 14:25,201902,1,1,London Area Airports,STANSTED,12770,2037,9544,859,305,15,10
12/04/2019 14:25,201902,1,3,Other UK Airports,STORNOWAY,420,420,0,0,0,0,0
12/04/2019 14:25,201902,1,3,Other UK Airports,SUMBURGH,830,441,0,0,389,0,0
12/04/2019 14:25,201902,1,3,Other UK Airports,TIREE,128,128,0,0,0,0,0
12/04/2019 14:25,201902,1,3,Other UK Airports,WICK JOHN O GROATS,114,114,0,0,0,0,0

